web-scraper-order,web-scraper-start-url,itemName,amount,price
"1653954938-214","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Strawberries GH 12oz","12 oz","null"
"1653954938-186","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Baby Spinach","142 g","$3.47"
"1653954938-198","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Potato, Russet, Your Fresh Market","5 lb Bag","null"
"1653954938-177","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Mushrooms, Whole White, Your Fresh Market","8 oz","$1.97"
"1653954938-199","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Spring Mix","454 g","null"
"1653954938-213","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Green Kiwi","2 lb","null"
"1653954938-202","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Peas, Sugar Snap","8 oz","null"
"1653954938-188","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Garlic","Pack of 3","87¢"
"1653954938-184","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Lemon","2 lb","$3.97"
"1653954938-212","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Mini Red Potatoes","1.5 lb","null"
"1653954938-227","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Broccoli, Florets, Mann's","2 lb","null"
"1653954938-191","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Sunset Grape Tomatoes, 1.5lb","1.5lb","null"
"1653954938-222","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Organic Spring Mix","142 g","null"
"1653954938-229","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Apple, Royal Gala, Your Fresh Market","3 lb bag","null"
"1653954938-207","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Broccoli, Florets, Mann's","12 oz","null"
"1653954938-190","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Mini Yellow Potatoes","1.5 lb","null"
"1653954938-193","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Raspberries","12 oz","null"
"1653954938-228","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Watermelon, Mini Seedless","Sold in singles","null"
"1653954938-221","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Pepper, Jalapeno","9 oz","null"
"1653954938-232","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Sweet Onions","3 lb","null"
"1653954938-223","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Organic Baby Spinach","283 g","null"
"1653954938-194","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Baby Spinach","454 g","null"
"1653954938-195","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Corn","Pack of 4","null"
"1653954938-211","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Potato, Red, Your Fresh Market","5 lb","null"
"1653954938-220","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Baby Arugula","142 g","null"
"1653954938-201","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Eat Smart Sweet Kale Vegetable Salad Kit","12 oz","null"
"1653954938-224","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Pineapple, Cored","Sold in singles","null"
"1653954938-181","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Carrot, Your Fresh Market","3 lb bag","$2.47"
"1653954938-230","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Mann's Stringless Sugar Snap Peas","1.5 lb","null"
"1653954938-178","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Pineapple, Golden Jumbo","2.05-2.29 kg each","$1.67"
"1653954938-219","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Potato, White, Your Fresh Market","5 lb","null"
"1653954938-217","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Mushrooms, Stuffer","14 oz","null"
"1653954938-206","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Fresh Attitude Spring Mix Salad Kit","5.3 oz","null"
"1653954938-179","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Onion, Yellow, Your Fresh Market","3 lb bag","$2.97"
"1653954938-200","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Lettuce, Iceberg","Sold in singles","null"
"1653954938-180","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Blackberries","170 g","$1.97"
"1653954938-234","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Watermelon Chunks","10 oz","null"
"1653954938-205","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Cauliflower","Sold in singles","null"
"1653954938-175","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Strawberries","1 lb","$3.97"
"1653954938-210","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Broccoli Stalks","Sold in singles","null"
"1653954938-225","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Organic Spring Mix","283 g","null"
"1653954938-209","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Mushrooms, Sliced Cremini, Your Fresh Market","8 oz","null"
"1653954938-216","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Organic Baby Spinach","142 g","null"
"1653954938-215","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Peas, Sugar Snap, Mann's","15 oz","null"
"1653954938-218","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Single Kit Southwest 175 g","6 oz","null"
"1653954938-192","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Fresh Attitude Caesar Salad Kit","6 oz","null"
"1653954938-187","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Mushrooms, White Sliced, Your Fresh Market","8 oz","$2.47"
"1653954938-231","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Apple, Organic Gala","2 lb Bag","null"
"1653954938-197","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Apple, Red Delicious, Your Fresh Market","3 lb Bag","null"
"1653954938-182","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Clementine","2 lb","$4.97"
"1653954938-208","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Avocado","Pack of 5","null"
"1653954938-203","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Cara Cara Oranges","3 lb Bag","null"
"1653954938-196","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Seedless Oranges","4 lb","null"
"1653954938-204","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Spring Mix","142 g","null"
"1653954938-189","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Mushrooms, Cremini, Your Fresh Market","8 oz","$1.97"
"1653954938-226","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Mann's Broccoli and Cauliflower","12 oz","null"
"1653954938-185","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Yellow Potatoes","5 lb Bag","$3.97"
"1653954938-183","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Your Fresh Market Tomato, Grape","10 oz","$2.97"
"1653954938-176","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Raspberries","170 g","$3.97"
"1653954938-233","https://www.walmart.ca/browse/grocery/fruits-vegetables/10019-6000194327370?icid=grocery_wm_OGL1_LMagCategory_Tile_Fruits_Veg","Celery, Sticks","Sold in bunches","null"
